2026-06-11T08:57:18.722487265Z stderr F I0611 08:57:18.722090       1 options.go:263] external host was not specified, using 172.18.0.2
2026-06-11T08:58:32.578701612Z stderr F 	Error updating APIService "v1beta1.visibility.kueue.x-k8s.io" with err: failed to download v1beta1.visibility.kueue.x-k8s.io: failed to retrieve openAPI spec, http error: ResponseCode: 503, Body: service unavailable
2026-06-11T08:58:32.578706932Z stderr F 	, Header: map[Content-Type:[text/plain; charset=utf-8] X-Content-Type-Options:[nosniff]]
2026-06-11T08:58:32.578711582Z stderr F  > logger="UnhandledError"
2026-06-11T08:58:32.581053643Z stderr F I0611 08:58:32.580849       1 handler.go:304] Adding GroupVersion visibility.kueue.x-k8s.io v1beta2 to ResourceManager
2026-06-11T08:58:32.587764352Z stderr F W0611 08:58:32.587467       1 handler_proxy.go:99] no RequestInfo found in the context
2026-06-11T08:58:32.587826163Z stderr F E0611 08:58:32.587548       1 controller.go:146] "Unhandled Error" err=<
2026-06-11T08:58:32.587835373Z stderr F 	Error updating APIService "v1beta2.visibility.kueue.x-k8s.io" with err: failed to download v1beta2.visibility.kueue.x-k8s.io: failed to retrieve openAPI spec, http error: ResponseCode: 503, Body: service unavailable
2026-06-11T08:58:32.587840623Z stderr F 	, Header: map[Content-Type:[text/plain; charset=utf-8] X-Content-Type-Options:[nosniff]]
2026-06-11T08:58:32.587845543Z stderr F  > logger="UnhandledError"
2026-06-11T08:58:32.952725307Z stderr F I0611 08:58:32.952283       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta1 to ResourceManager
2026-06-11T08:58:32.95290488Z stderr F I0611 08:58:32.952622       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta2 to ResourceManager
2026-06-11T08:58:33.320917725Z stderr F W0611 08:58:33.320707       1 logging.go:55] [core] [Channel #270 SubChannel #271]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:33.574872246Z stderr F W0611 08:58:33.574662       1 handler_proxy.go:99] no RequestInfo found in the context
2026-06-11T08:58:33.574912356Z stderr F W0611 08:58:33.574690       1 handler_proxy.go:99] no RequestInfo found in the context
2026-06-11T08:58:33.574920206Z stderr F E0611 08:58:33.574741       1 controller.go:113] "Unhandled Error" err="loading OpenAPI spec for \"v1beta1.visibility.kueue.x-k8s.io\" failed with: Error, could not get list of group versions for APIService" logger="UnhandledError"
2026-06-11T08:58:33.574926286Z stderr F I0611 08:58:33.574761       1 controller.go:126] OpenAPI AggregationController: action for item v1beta1.visibility.kueue.x-k8s.io: Rate Limited Requeue.
2026-06-11T08:58:33.574953047Z stderr F E0611 08:58:33.574790       1 controller.go:102] "Unhandled Error" err=<
2026-06-11T08:58:33.574973107Z stderr F 	loading OpenAPI spec for "v1beta1.visibility.kueue.x-k8s.io" failed with: failed to download v1beta1.visibility.kueue.x-k8s.io: failed to retrieve openAPI spec, http error: ResponseCode: 503, Body: service unavailable
2026-06-11T08:58:33.574978997Z stderr F 	, Header: map[Content-Type:[text/plain; charset=utf-8] X-Content-Type-Options:[nosniff]]
2026-06-11T08:58:33.574983997Z stderr F  > logger="UnhandledError"
2026-06-11T08:58:33.576247374Z stderr F I0611 08:58:33.575976       1 controller.go:109] OpenAPI AggregationController: action for item v1beta1.visibility.kueue.x-k8s.io: Rate Limited Requeue.
2026-06-11T08:58:33.581815078Z stderr F W0611 08:58:33.581526       1 handler_proxy.go:99] no RequestInfo found in the context
2026-06-11T08:58:33.581832298Z stderr F W0611 08:58:33.581524       1 handler_proxy.go:99] no RequestInfo found in the context
2026-06-11T08:58:33.581837049Z stderr F E0611 08:58:33.581689       1 controller.go:113] "Unhandled Error" err="loading OpenAPI spec for \"v1beta2.visibility.kueue.x-k8s.io\" failed with: Error, could not get list of group versions for APIService" logger="UnhandledError"
2026-06-11T08:58:33.581841639Z stderr F I0611 08:58:33.581710       1 controller.go:126] OpenAPI AggregationController: action for item v1beta2.visibility.kueue.x-k8s.io: Rate Limited Requeue.
2026-06-11T08:58:33.58197637Z stderr F E0611 08:58:33.581623       1 controller.go:102] "Unhandled Error" err=<
2026-06-11T08:58:33.581985091Z stderr F 	loading OpenAPI spec for "v1beta2.visibility.kueue.x-k8s.io" failed with: failed to download v1beta2.visibility.kueue.x-k8s.io: failed to retrieve openAPI spec, http error: ResponseCode: 503, Body: service unavailable
2026-06-11T08:58:33.581989631Z stderr F 	, Header: map[Content-Type:[text/plain; charset=utf-8] X-Content-Type-Options:[nosniff]]
2026-06-11T08:58:33.581994031Z stderr F  > logger="UnhandledError"
2026-06-11T08:58:33.583105565Z stderr F I0611 08:58:33.582935       1 controller.go:109] OpenAPI AggregationController: action for item v1beta2.visibility.kueue.x-k8s.io: Rate Limited Requeue.
2026-06-11T08:58:36.491652827Z stderr F W0611 08:58:36.491406       1 logging.go:55] [core] [Channel #277 SubChannel #278]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:36.503658586Z stderr F W0611 08:58:36.503454       1 logging.go:55] [core] [Channel #281 SubChannel #282]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:36.5204824Z stderr F W0611 08:58:36.520296       1 logging.go:55] [core] [Channel #285 SubChannel #286]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:36.530646625Z stderr F W0611 08:58:36.530474       1 logging.go:55] [core] [Channel #289 SubChannel #290]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:36.547020202Z stderr F W0611 08:58:36.546845       1 logging.go:55] [core] [Channel #293 SubChannel #294]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:36.560094956Z stderr F W0611 08:58:36.559902       1 logging.go:55] [core] [Channel #297 SubChannel #298]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:36.687970343Z stderr F W0611 08:58:36.687778       1 logging.go:55] [core] [Channel #301 SubChannel #302]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:36.748466376Z stderr F W0611 08:58:36.748243       1 logging.go:55] [core] [Channel #305 SubChannel #306]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:36.77437243Z stderr F W0611 08:58:36.774190       1 logging.go:55] [core] [Channel #309 SubChannel #310]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:36.791865153Z stderr F W0611 08:58:36.791682       1 logging.go:55] [core] [Channel #313 SubChannel #314]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:36.812634448Z stderr F W0611 08:58:36.812451       1 logging.go:55] [core] [Channel #317 SubChannel #318]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:36.829965058Z stderr F W0611 08:58:36.829786       1 logging.go:55] [core] [Channel #321 SubChannel #322]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:36.84967192Z stderr F W0611 08:58:36.849507       1 logging.go:55] [core] [Channel #325 SubChannel #326]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:36.862214217Z stderr F W0611 08:58:36.862021       1 logging.go:55] [core] [Channel #329 SubChannel #330]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:37.03126591Z stderr F W0611 08:58:37.031087       1 logging.go:55] [core] [Channel #333 SubChannel #334]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:37.041907532Z stderr F W0611 08:58:37.041697       1 logging.go:55] [core] [Channel #337 SubChannel #338]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:37.059198881Z stderr F W0611 08:58:37.058988       1 logging.go:55] [core] [Channel #341 SubChannel #342]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:37.075415196Z stderr F W0611 08:58:37.075222       1 logging.go:55] [core] [Channel #345 SubChannel #346]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:37.092315051Z stderr F W0611 08:58:37.092116       1 logging.go:55] [core] [Channel #349 SubChannel #350]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:37.104656785Z stderr F W0611 08:58:37.104452       1 logging.go:55] [core] [Channel #353 SubChannel #354]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:44.673141709Z stderr F E0611 08:58:44.672664       1 remote_available_controller.go:462] "Unhandled Error" err="v1beta1.visibility.kueue.x-k8s.io failed with: failing or missing response from https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta1: Get \"https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta1\": dial tcp 10.96.63.221:443: connect: connection refused" logger="UnhandledError"
2026-06-11T08:58:44.673179939Z stderr F W0611 08:58:44.672698       1 handler_proxy.go:99] no RequestInfo found in the context
2026-06-11T08:58:44.673186039Z stderr F E0611 08:58:44.672763       1 remote_available_controller.go:462] "Unhandled Error" err="v1beta2.visibility.kueue.x-k8s.io failed with: failing or missing response from https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta2: Get \"https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta2\": dial tcp 10.96.63.221:443: connect: connection refused" logger="UnhandledError"
2026-06-11T08:58:44.673190729Z stderr F E0611 08:58:44.672787       1 controller.go:146] "Unhandled Error" err=<
2026-06-11T08:58:44.673195789Z stderr F 	Error updating APIService "v1beta2.visibility.kueue.x-k8s.io" with err: failed to download v1beta2.visibility.kueue.x-k8s.io: failed to retrieve openAPI spec, http error: ResponseCode: 503, Body: service unavailable
2026-06-11T08:58:44.673199969Z stderr F 	, Header: map[Content-Type:[text/plain; charset=utf-8] X-Content-Type-Options:[nosniff]]
2026-06-11T08:58:44.673204239Z stderr F  > logger="UnhandledError"
2026-06-11T08:58:44.673454863Z stderr F E0611 08:58:44.673230       1 remote_available_controller.go:462] "Unhandled Error" err="v1beta1.visibility.kueue.x-k8s.io failed with: failing or missing response from https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta1: Get \"https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta1\": dial tcp 10.96.63.221:443: connect: connection refused" logger="UnhandledError"
2026-06-11T08:58:44.674632348Z stderr F W0611 08:58:44.674457       1 handler_proxy.go:99] no RequestInfo found in the context
2026-06-11T08:58:44.674645249Z stderr F E0611 08:58:44.674575       1 controller.go:146] "Unhandled Error" err=<
2026-06-11T08:58:44.674650629Z stderr F 	Error updating APIService "v1beta1.visibility.kueue.x-k8s.io" with err: failed to download v1beta1.visibility.kueue.x-k8s.io: failed to retrieve openAPI spec, http error: ResponseCode: 503, Body: service unavailable
2026-06-11T08:58:44.674654669Z stderr F 	, Header: map[Content-Type:[text/plain; charset=utf-8] X-Content-Type-Options:[nosniff]]
2026-06-11T08:58:44.674658899Z stderr F  > logger="UnhandledError"
2026-06-11T08:58:44.675207606Z stderr F E0611 08:58:44.675016       1 remote_available_controller.go:462] "Unhandled Error" err="v1beta2.visibility.kueue.x-k8s.io failed with: failing or missing response from https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta2: Get \"https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta2\": dial tcp 10.96.63.221:443: connect: connection refused" logger="UnhandledError"
2026-06-11T08:58:44.678765894Z stderr F E0611 08:58:44.678542       1 remote_available_controller.go:462] "Unhandled Error" err="v1beta1.visibility.kueue.x-k8s.io failed with: failing or missing response from https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta1: Get \"https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta1\": dial tcp 10.96.63.221:443: connect: connection refused" logger="UnhandledError"
2026-06-11T08:58:44.680174092Z stderr F E0611 08:58:44.679996       1 remote_available_controller.go:462] "Unhandled Error" err="v1beta2.visibility.kueue.x-k8s.io failed with: failing or missing response from https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta2: Get \"https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta2\": dial tcp 10.96.63.221:443: connect: connection refused" logger="UnhandledError"
2026-06-11T08:58:44.695039539Z stderr F E0611 08:58:44.694819       1 remote_available_controller.go:462] "Unhandled Error" err="v1beta2.visibility.kueue.x-k8s.io failed with: failing or missing response from https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta2: Get \"https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta2\": dial tcp 10.96.63.221:443: connect: connection refused" logger="UnhandledError"
2026-06-11T08:58:44.695759279Z stderr F E0611 08:58:44.695542       1 remote_available_controller.go:462] "Unhandled Error" err="v1beta1.visibility.kueue.x-k8s.io failed with: failing or missing response from https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta1: Get \"https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta1\": dial tcp 10.96.63.221:443: connect: connection refused" logger="UnhandledError"
2026-06-11T08:58:44.699659771Z stderr F E0611 08:58:44.699481       1 remote_available_controller.go:462] "Unhandled Error" err="v1beta1.visibility.kueue.x-k8s.io failed with: failing or missing response from https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta1: Get \"https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta1\": dial tcp 10.96.63.221:443: connect: connection refused" logger="UnhandledError"
2026-06-11T08:58:44.700720105Z stderr F E0611 08:58:44.700544       1 remote_available_controller.go:462] "Unhandled Error" err="v1beta2.visibility.kueue.x-k8s.io failed with: failing or missing response from https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta2: Get \"https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta2\": dial tcp 10.96.63.221:443: connect: connection refused" logger="UnhandledError"
2026-06-11T08:58:44.780530524Z stderr F E0611 08:58:44.780349       1 remote_available_controller.go:462] "Unhandled Error" err="v1beta1.visibility.kueue.x-k8s.io failed with: failing or missing response from https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta1: Get \"https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta1\": dial tcp 10.96.63.221:443: connect: connection refused" logger="UnhandledError"
2026-06-11T08:58:44.782297678Z stderr F E0611 08:58:44.782157       1 remote_available_controller.go:462] "Unhandled Error" err="v1beta2.visibility.kueue.x-k8s.io failed with: failing or missing response from https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta2: Get \"https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta2\": dial tcp 10.96.63.221:443: connect: connection refused" logger="UnhandledError"
2026-06-11T08:58:44.941887176Z stderr F E0611 08:58:44.941682       1 remote_available_controller.go:462] "Unhandled Error" err="v1beta1.visibility.kueue.x-k8s.io failed with: failing or missing response from https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta1: Get \"https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta1\": dial tcp 10.96.63.221:443: connect: connection refused" logger="UnhandledError"
2026-06-11T08:58:44.944258958Z stderr F E0611 08:58:44.944024       1 remote_available_controller.go:462] "Unhandled Error" err="v1beta2.visibility.kueue.x-k8s.io failed with: failing or missing response from https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta2: Get \"https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta2\": dial tcp 10.96.63.221:443: connect: connection refused" logger="UnhandledError"
2026-06-11T08:58:45.26310726Z stderr F E0611 08:58:45.262928       1 remote_available_controller.go:462] "Unhandled Error" err="v1beta1.visibility.kueue.x-k8s.io failed with: failing or missing response from https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta1: Get \"https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta1\": dial tcp 10.96.63.221:443: connect: connection refused" logger="UnhandledError"
2026-06-11T08:58:45.265016416Z stderr F E0611 08:58:45.264865       1 remote_available_controller.go:462] "Unhandled Error" err="v1beta2.visibility.kueue.x-k8s.io failed with: failing or missing response from https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta2: Get \"https://10.96.63.221:443/apis/visibility.kueue.x-k8s.io/v1beta2\": dial tcp 10.96.63.221:443: connect: connection refused" logger="UnhandledError"
2026-06-11T08:58:45.674617873Z stderr F W0611 08:58:45.674451       1 handler_proxy.go:99] no RequestInfo found in the context
2026-06-11T08:58:45.674644454Z stderr F W0611 08:58:45.674483       1 handler_proxy.go:99] no RequestInfo found in the context
2026-06-11T08:58:45.674648734Z stderr F E0611 08:58:45.674540       1 controller.go:113] "Unhandled Error" err="loading OpenAPI spec for \"v1beta2.visibility.kueue.x-k8s.io\" failed with: Error, could not get list of group versions for APIService" logger="UnhandledError"
2026-06-11T08:58:45.674652704Z stderr F E0611 08:58:45.674547       1 controller.go:102] "Unhandled Error" err=<
2026-06-11T08:58:45.674656634Z stderr F 	loading OpenAPI spec for "v1beta2.visibility.kueue.x-k8s.io" failed with: failed to download v1beta2.visibility.kueue.x-k8s.io: failed to retrieve openAPI spec, http error: ResponseCode: 503, Body: service unavailable
2026-06-11T08:58:45.674660134Z stderr F 	, Header: map[Content-Type:[text/plain; charset=utf-8] X-Content-Type-Options:[nosniff]]
2026-06-11T08:58:45.674663914Z stderr F  > logger="UnhandledError"
2026-06-11T08:58:45.674667614Z stderr F I0611 08:58:45.674558       1 controller.go:126] OpenAPI AggregationController: action for item v1beta2.visibility.kueue.x-k8s.io: Rate Limited Requeue.
2026-06-11T08:58:45.67588009Z stderr F W0611 08:58:45.675751       1 handler_proxy.go:99] no RequestInfo found in the context
2026-06-11T08:58:45.67589027Z stderr F I0611 08:58:45.675765       1 controller.go:109] OpenAPI AggregationController: action for item v1beta2.visibility.kueue.x-k8s.io: Rate Limited Requeue.
2026-06-11T08:58:45.67589456Z stderr F E0611 08:58:45.675784       1 controller.go:113] "Unhandled Error" err="loading OpenAPI spec for \"v1beta1.visibility.kueue.x-k8s.io\" failed with: Error, could not get list of group versions for APIService" logger="UnhandledError"
2026-06-11T08:58:45.67589898Z stderr F I0611 08:58:45.675797       1 controller.go:126] OpenAPI AggregationController: action for item v1beta1.visibility.kueue.x-k8s.io: Rate Limited Requeue.
2026-06-11T08:58:45.675917501Z stderr F W0611 08:58:45.675831       1 handler_proxy.go:99] no RequestInfo found in the context
2026-06-11T08:58:45.675929791Z stderr F E0611 08:58:45.675877       1 controller.go:102] "Unhandled Error" err=<
2026-06-11T08:58:45.675933731Z stderr F 	loading OpenAPI spec for "v1beta1.visibility.kueue.x-k8s.io" failed with: failed to download v1beta1.visibility.kueue.x-k8s.io: failed to retrieve openAPI spec, http error: ResponseCode: 503, Body: service unavailable
2026-06-11T08:58:45.675937271Z stderr F 	, Header: map[Content-Type:[text/plain; charset=utf-8] X-Content-Type-Options:[nosniff]]
2026-06-11T08:58:45.675940971Z stderr F  > logger="UnhandledError"
2026-06-11T08:58:45.677168397Z stderr F I0611 08:58:45.677054       1 controller.go:109] OpenAPI AggregationController: action for item v1beta1.visibility.kueue.x-k8s.io: Rate Limited Requeue.
2026-06-11T08:58:45.970643374Z stderr F I0611 08:58:45.970457       1 handler.go:304] Adding GroupVersion visibility.kueue.x-k8s.io v1beta2 to ResourceManager
2026-06-11T08:58:45.973746895Z stderr F I0611 08:58:45.973596       1 handler.go:304] Adding GroupVersion visibility.kueue.x-k8s.io v1beta1 to ResourceManager
2026-06-11T08:58:58.535795129Z stderr F W0611 08:58:58.535577       1 logging.go:55] [core] [Channel #357 SubChannel #358]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:58.545684701Z stderr F W0611 08:58:58.545321       1 logging.go:55] [core] [Channel #361 SubChannel #362]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T09:00:38.357644715Z stderr F I0611 09:00:38.357433       1 controller.go:667] quota admission added evaluator for: localqueues.kueue.x-k8s.io
2026-06-11T09:01:14.299772094Z stderr F W0611 09:01:14.299585       1 dispatcher.go:225] Failed calling webhook, failing closed mleaderworkerset.kb.io: failed calling webhook "mleaderworkerset.kb.io": failed to call webhook: Post "https://kueue-webhook-service.kueue-system.svc:443/mutate-leaderworkerset-x-k8s-io-v1-leaderworkerset?timeout=10s": context deadline exceeded
2026-06-11T09:01:49.947444256Z stderr F W0611 09:01:49.947261       1 dispatcher.go:225] Failed calling webhook, failing closed mresourceflavor.kb.io: failed calling webhook "mresourceflavor.kb.io": failed to call webhook: Post "https://kueue-webhook-service.kueue-system.svc:443/mutate-kueue-x-k8s-io-v1beta2-resourceflavor?timeout=10s": context deadline exceeded
2026-06-11T09:01:51.550300735Z stderr F I0611 09:01:51.550133       1 controller.go:667] quota admission added evaluator for: jobs.batch
2026-06-11T09:01:51.670532681Z stderr F I0611 09:01:51.670359       1 controller.go:667] quota admission added evaluator for: workloads.kueue.x-k8s.io
2026-06-11T09:01:57.289884727Z stderr F I0611 09:01:57.289726       1 controller.go:667] quota admission added evaluator for: appwrappers.workload.codeflare.dev
2026-06-11T09:02:02.239940173Z stderr F I0611 09:02:02.239761       1 controller.go:667] quota admission added evaluator for: jobsets.jobset.x-k8s.io
2026-06-11T09:02:31.003243201Z stderr F I0611 09:02:31.003056       1 controller.go:667] quota admission added evaluator for: statefulsets.apps
2026-06-11T09:02:51.491984182Z stderr F I0611 09:02:51.491799       1 controller.go:667] quota admission added evaluator for: leaderworkersets.leaderworkerset.x-k8s.io
2026-06-11T09:03:43.216302064Z stderr F W0611 09:03:43.216093       1 dispatcher.go:225] Failed calling webhook, failing closed mresourceflavor.kb.io: failed calling webhook "mresourceflavor.kb.io": failed to call webhook: Post "https://kueue-webhook-service.kueue-system.svc:443/mutate-kueue-x-k8s-io-v1beta2-resourceflavor?timeout=10s": context deadline exceeded
